stage,direction,phase,family,preprocess,recency,score,lift,params
k3p,LONG,prune,lgb,top16,exp730,0.1919784588984422,0.1346217510337635,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,prune,lgb,top24,exp730,0.1830254117038224,0.1612478162392064,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,prune,lgb,top46,exp730,0.1777069496267611,0.1569130898383123,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,SHORT,family_preproc,lgb,raw,expanding,0.1037122776246834,0.1022021778927665,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,SHORT,family_preproc,xgb,raw,expanding,0.0884048984339761,-0.0092954773802405,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k3p,SHORT,family_preproc,cat,raw,expanding,0.1312236370349492,0.069695999383775,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k3p,SHORT,family_preproc,lgb,eng,expanding,0.1371528222896187,-0.008986266576008,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,SHORT,family_preproc,xgb,eng,expanding,0.1422718524492882,0.0237045138587273,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k3p,SHORT,family_preproc,cat,eng,expanding,0.1344911192084582,0.042199619227187,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k3p,SHORT,family_preproc,lgb,eng_rank,expanding,0.0801604291069665,0.0845442591869118,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
