idx,year,stage,direction,mean,q10,q50,q90,R,pnl,rid,L,decision,source,score,prior_q50,prior_q75,w
5753,2025,k2,LONG,0.7633458,-1.0,-0.7301961437123774,2.962834094214501,-1.0,-7.269999999999527,1892,14,2025-12-19 16:00:00,q50,-0.7301961437123774,-0.3411000767669566,-0.1696042543093169,0
5754,2025,k3p,LONG,0.275129567796551,-0.9386818366568842,-0.2736584616380331,2.450925829413483,3.676804915514581,119.68000000000028,1892,14,2025-12-19 20:00:00,q50,-0.2736584616380331,-0.2740857038267423,-0.17756805490013175,1
5755,2025,k3p,LONG,-0.2733381811919601,-0.6885608615636011,-0.342870699257424,0.4405118217747025,1.8185225279532988,89.99000000000069,1892,14,2025-12-22 04:00:00,q50,-0.342870699257424,-0.2740857038267423,-0.17756805490013175,0
5756,2025,k3p,LONG,-0.1535701009309163,-0.9241269656880357,-0.2863855075426305,0.3841110876012453,1.174053182917005,72.85000000000036,1892,14,2025-12-22 08:00:00,q50,-0.2863855075426305,-0.2740857038267423,-0.17756805490013175,0
5757,2025,k3p,LONG,-0.1851128705717977,-0.8213668349788046,-0.3322581674693925,0.2548091381350305,1.02273641762862,61.82000000000062,1892,14,2025-12-22 12:00:00,q50,-0.3322581674693925,-0.2740857038267423,-0.17756805490013175,0
5758,2025,k3p,LONG,-0.0833320935023504,-0.9533114030515234,-0.4872197575947767,0.0298760483698538,0.9344929809594148,48.90000000000055,1892,14,2025-12-22 16:00:00,q50,-0.4872197575947767,-0.2740857038267423,-0.17756805490013175,0
5759,2025,k3p,LONG,0.0245760477191811,-0.9955239494648316,-0.4293049562005076,0.3320750382097203,0.6986029103648873,34.25,1892,14,2025-12-22 20:00:00,q50,-0.4293049562005076,-0.2740857038267423,-0.17756805490013175,0
5760,2025,k3p,LONG,0.0149746345216798,-0.965606017429994,-0.4785542254855079,0.5117345220200348,0.5704358445046905,25.27000000000044,1892,14,2025-12-23 00:00:00,q50,-0.4785542254855079,-0.2740857038267423,-0.17756805490013175,0
5761,2025,k3p,LONG,0.1303210963894748,-0.854025254810007,-0.2172319075944074,0.5051318897795237,-0.1944224902892094,-13.679999999999382,1892,14,2025-12-23 04:00:00,q50,-0.2172319075944074,-0.2740857038267423,-0.17756805490013175,1
5762,2025,k3p,LONG,0.0925098141954957,-0.8923026430261949,-0.0804407079584662,0.87242807748317,-0.0437567962602682,-2.050000000000182,1892,14,2025-12-23 08:00:00,q50,-0.0804407079584662,-0.2740857038267423,-0.17756805490013175,3
5763,2025,k3p,LONG,0.0971813497740132,-0.976782619680893,-0.2260091025103709,0.8306730233468584,-1.0,-32.57993252712822,1892,14,2025-12-23 12:00:00,q50,-0.2260091025103709,-0.2740857038267423,-0.17756805490013175,1
