cluster_id,block,direction,touch_hour,price_low,price_high,object_count,families,timeframes,object_ids,has_FVG_OB,has_H4,state,role,accepted_through_4h_2close,object_direction_dominant_24h,state_direction_dominant_24h,favorable_points,adverse_points
POIC0131,2025H1,BEAR,2025-03-10 11:00:00,2909.36,2914.68,1,OB,H1,H1_OB_BEAR_20250310_0800_VIA_20250310_1000,False,False,BALANCE,BALANCE,False,True,,32.23999999999978,3.380000000000109
POIC0132,2025H1,BEAR,2025-03-10 21:00:00,2889.55,2895.82,1,FVG,H1,H1_FVG_BEAR_20250310_2000,False,False,DOWN,ALIGNED,False,False,False,12.9050000000002,29.5349999999994
POIC0133,2025H1,BEAR,2025-03-11 03:00:00,2890.9,2895.57,1,FVG,H4,H4_FVG_BEAR_20250310_2000,False,True,DOWN,ALIGNED,True,False,False,13.454999999999927,28.984999999999676
POIC0134,2025H1,BEAR,2025-03-11 04:00:00,2896.14,2915.5,2,FVG;OB,H1;H4,H1_FVG_BEAR_20250310_1900;H4_OB_BEAR_20250310_0800_VIA_20250310_1600,True,True,DOWN,ALIGNED,False,False,False,15.959999999999582,16.40000000000009
POIC0135,2025H1,BEAR,2025-03-11 08:00:00,2900.98,2909.11,1,OB,H1,H1_OB_BEAR_20250310_1600_VIA_20250310_1800,False,False,BALANCE,BALANCE,True,False,,11.565000000000056,17.174999999999727
POIC0136,2025H1,BEAR,2025-03-13 00:00:00,2935.63,2935.88,1,FVG,H1,H1_FVG_BEAR_20250312_2100,False,False,UP,OPPOSING,True,False,True,3.425000000000182,53.39499999999998
POIC0137,2025H1,BEAR,2025-03-13 10:00:00,2938.12,2938.21,1,FVG,H1,H1_FVG_BEAR_20250313_0900,False,False,UP,OPPOSING,True,False,True,3.3649999999997817,55.70499999999993
POIC0138,2025H1,BEAR,2025-03-13 10:00:00,2940.31,2943.47,1,FVG,H1,H1_FVG_BEAR_20250313_0800,False,False,UP,OPPOSING,True,False,True,7.089999999999691,51.98000000000002
POIC0139,2025H1,BEAR,2025-03-14 22:00:00,2985.98,2986.39,1,FVG,H1,H1_FVG_BEAR_20250314_2100,False,False,UP,OPPOSING,False,True,False,4.664999999999964,2.505000000000109
POIC0140,2025H1,BEAR,2025-03-17 08:00:00,2988.66,2988.68,1,FVG,H1,H1_FVG_BEAR_20250317_0500,False,False,BALANCE,BALANCE,False,False,,5.579999999999927,28.46000000000004
POIC0141,2025H1,BEAR,2025-03-17 16:00:00,2991.37,2996.49,1,FVG,H1,H1_FVG_BEAR_20250317_1500,False,False,BALANCE,BALANCE,True,False,,6.809999999999945,44.28999999999997
POIC0142,2025H1,BEAR,2025-03-19 01:00:00,3034.56,3035.19,1,FVG,H1,H1_FVG_BEAR_20250319_0000,False,False,UP,OPPOSING,False,False,True,12.355000000000018,16.99499999999989
POIC0143,2025H1,BEAR,2025-03-19 12:00:00,3031.4,3035.53,1,FVG,H1,H1_FVG_BEAR_20250319_1100,False,False,UP,OPPOSING,True,False,True,7.555000000000291,23.97499999999991
POIC0144,2025H1,BEAR,2025-03-19 12:00:00,3036.41,3045.31,1,OB,H1,H1_OB_BEAR_20250319_0700_VIA_20250319_1000,False,False,UP,OPPOSING,False,False,True,14.949999999999818,16.580000000000382
POIC0145,2025H1,BEAR,2025-03-19 18:00:00,3033.31,3036.28,1,FVG,H1,H1_FVG_BEAR_20250319_1600,False,False,UP,OPPOSING,True,False,True,9.144999999999982,22.644999999999985
POIC0146,2025H1,BEAR,2025-03-20 11:00:00,3043.86,3051.46,2,FVG;OB,H1,H1_FVG_BEAR_20250320_1000;H1_OB_BEAR_20250320_0800_VIA_20250320_0900,True,False,UP,OPPOSING,False,True,False,26.06999999999971,-0.2100000000000363
POIC0147,2025H1,BEAR,2025-03-20 14:00:00,3035.16,3040.59,1,FVG,H1,H1_FVG_BEAR_20250320_1300,False,False,UP,OPPOSING,False,True,False,16.284999999999854,9.574999999999818
POIC0148,2025H1,BEAR,2025-03-20 18:00:00,3042.23,3044.93,1,FVG,H4,H4_FVG_BEAR_20250320_1200,False,True,UP,OPPOSING,False,True,False,44.2199999999998,3.869999999999891
