event_id,block,direction,required_consecutive_H1_closes_beyond,confirmation_time,hours_from_arrival_to_confirmation,post_confirmation_6h_directional_dominance,post_confirmation_12h_directional_dominance
2025H1_BUY_SIDE_20250620_1600,2025H1,UP,3,2025-06-20 19:00:00,3.0,False,False
2025H1_SELL_SIDE_20250623_0300,2025H1,DOWN,1,2025-06-23 05:00:00,2.0,False,False
2025H1_SELL_SIDE_20250623_0300,2025H1,DOWN,2,2025-06-23 06:00:00,3.0,True,False
2025H1_SELL_SIDE_20250623_0300,2025H1,DOWN,3,2025-06-23 07:00:00,4.0,True,False
2025H1_BUY_SIDE_20250625_1900,2025H1,UP,1,2025-06-25 20:00:00,1.0,False,False
2025H1_BUY_SIDE_20250625_1900,2025H1,UP,2,2025-06-25 23:00:00,4.0,True,True
2025H1_BUY_SIDE_20250625_1900,2025H1,UP,3,2025-06-26 00:00:00,5.0,True,True
2025H1_SELL_SIDE_20250626_1500,2025H1,DOWN,1,2025-06-26 16:00:00,1.0,False,False
2025H1_SELL_SIDE_20250626_1500,2025H1,DOWN,2,2025-06-26 17:00:00,2.0,False,False
2025H1_SELL_SIDE_20250626_1500,2025H1,DOWN,3,2025-06-26 18:00:00,3.0,False,False
2025H1_BUY_SIDE_20250630_1900,2025H1,UP,1,2025-06-30 20:00:00,1.0,True,True
2025H1_BUY_SIDE_20250630_1900,2025H1,UP,2,2025-06-30 23:00:00,4.0,False,False
2025H1_BUY_SIDE_20250630_1900,2025H1,UP,3,2025-07-01 00:00:00,5.0,,
2026JF_SELL_SIDE_20260107_0300,2026JF,DOWN,1,2026-01-07 04:00:00,1.0,True,True
2026JF_SELL_SIDE_20260107_0300,2026JF,DOWN,2,2026-01-07 05:00:00,2.0,True,True
2026JF_SELL_SIDE_20260107_0300,2026JF,DOWN,3,2026-01-07 06:00:00,3.0,True,True
2026JF_SELL_SIDE_20260107_0700,2026JF,DOWN,1,2026-01-07 08:00:00,1.0,False,True
2026JF_SELL_SIDE_20260107_0700,2026JF,DOWN,2,2026-01-07 09:00:00,2.0,False,False
2026JF_BUY_SIDE_20260108_1700,2026JF,UP,1,2026-01-08 18:00:00,1.0,True,True
