test_year,run_id,bounded_pnl,all1_pnl,oracle_bars,selected_units,delta
2025,1771,-25.250000000000455,-32.380000000000564,1,2.0,7.130000000000109
2025,1772,-74.76000000000022,-24.920000000000073,0,3.0,-49.840000000000146
2025,1773,-3.8099999999999454,-27.03999999999951,1,1.0,23.229999999999563
2025,1774,-88.76999999999907,-29.58999999999969,0,3.0,-59.17999999999938
2025,1775,-12.690000000000055,-23.730000000000018,1,1.0,11.039999999999964
2025,1776,-35.789999999999054,-16.30999999999949,0,4.0,-19.479999999999563
2025,1777,-29.729999999999563,-9.909999999999854,0,3.0,-19.81999999999971
2025,1778,174.82000000000016,425.9800000000014,4,2.0,-251.16000000000122
2025,1779,-4.9099999999998545,-13.480000000000018,1,1.0,8.570000000000164
2025,1780,-6.450000000000273,-2.150000000000091,0,3.0,-4.300000000000182
2025,1781,-13.25,-6.720000000000255,1,1.0,-6.529999999999745
2025,1782,-32.54999999999973,-10.849999999999909,0,3.0,-21.699999999999818
2025,1783,0.0,-13.309999999999945,0,0.0,13.309999999999945
2025,1784,-53.820000000000164,-17.940000000000055,0,3.0,-35.88000000000011
2025,1785,-12.159999999999854,-29.359999999999673,0,1.0,17.199999999999818
2025,1786,-11.799999999999272,-5.359999999999673,0,4.0,-6.4399999999996
2025,1787,-5.599999999999909,-5.599999999999909,0,1.0,0.0
2025,1788,63.11999999999989,156.32000000000107,4,1.0,-93.20000000000118
2025,1789,-30.0,-56.88000000000011,0,1.0,26.88000000000011
2025,1790,107.21999999999935,29.869999999999436,2,6.0,77.34999999999991
2025,1791,0.0,-36.320000000000164,1,0.0,36.320000000000164
2025,1792,-134.52000000000044,-44.840000000000146,0,6.0,-89.68000000000029
2025,1793,-12.159999999999854,-12.819999999999709,0,1.0,0.6599999999998545
2025,1794,-38.429999999999836,-12.809999999999945,0,3.0,-25.61999999999989
2025,1795,0.0,-19.490000000000236,0,0.0,19.490000000000236
2025,1796,336.1799999999994,324.81999999999925,4,4.0,11.360000000000127
2025,1797,-25.679999999999836,-25.679999999999836,0,1.0,0.0
2025,1798,213.7700000000009,75.06000000000085,3,5.0,138.71000000000004
2025,1799,-15.489999999999782,-14.9699999999998,0,1.0,-0.5199999999999818
2025,1800,-140.39999999999918,-46.79999999999973,0,6.0,-93.59999999999945
2025,1801,0.0,-15.88000000000011,0,0.0,15.88000000000011
2025,1802,-74.94000000000005,-24.980000000000018,0,3.0,-49.960000000000036
2025,1803,0.0,-28.199999999999818,0,0.0,28.199999999999818
2025,1804,463.64000000000215,419.44000000000324,4,4.0,44.19999999999891
2025,1805,-38.51999999999953,-38.51999999999953,0,1.0,0.0
2025,1806,843.3000000000011,1418.9100000000035,5,5.0,-575.6100000000024
2025,1807,64.40999999999985,64.40999999999985,1,1.0,0.0
2025,1808,806.5799999999963,262.9499999999989,2,12.0,543.6299999999974
2025,1809,359.5,302.1500000000001,2,2.0,57.34999999999991
2025,1811,0.0,-51.809999999999945,1,0.0,51.809999999999945
2025,1812,93.41999999999962,117.17999999999893,2,3.0,-23.75999999999931
2025,1813,-2.730000000000473,-129.68000000000166,1,1.0,126.95000000000118
2025,1814,-164.6899999999996,-68.80999999999949,0,4.0,-95.88000000000011
2025,1815,70.59000000000015,150.3800000000001,2,1.0,-79.78999999999996
