idx,year,stage,direction,p_stop,mu_nonstop,EV,R,pnl,rid,L,decision,neg_pstop,source,w
4977,2025,k3p,SHORT,0.10337907,0.216154170951449,0.0904292828590256,1.3107993185274998,25.17000000000008,1641,10,2025-06-16 16:00:00,-0.10337907,neg_pstop,1
4978,2025,k3p,SHORT,0.18426341,0.0570842486489429,-0.1376976977447886,0.3193065527166581,8.989999999999782,1641,10,2025-06-16 20:00:00,-0.18426341,neg_pstop,0
4979,2025,k3p,SHORT,0.035865113,0.0732226265808876,0.0347313745639634,-0.1023065500097213,-3.559999999999945,1641,10,2025-06-17 00:00:00,-0.035865113,neg_pstop,3
4980,2025,k3p,SHORT,0.24793205,0.2586875968885011,-0.0533814028128425,0.2134206891728769,3.940000000000055,1641,10,2025-06-17 04:00:00,-0.24793205,neg_pstop,0
4981,2025,k3p,SHORT,0.6863675,1.7519544178058548,-0.136897688390954,0.3902173913043026,3.5899999999996908,1641,10,2025-06-17 08:00:00,-0.6863675,neg_pstop,0
4982,2025,k3p,SHORT,0.20916101,0.179170497753659,-0.0674660038260592,-0.4879696074292916,-11.559999999999944,1641,10,2025-06-17 12:00:00,-0.20916101,neg_pstop,0
4983,2025,k3p,SHORT,0.6479291,0.7885666454796003,-0.3702976820159233,-1.0,-8.63000000000011,1641,10,2025-06-17 16:00:00,-0.6479291,neg_pstop,0
4984,2025,k3p,SHORT,0.297462,1.448732009385701,0.720327321365464,-0.4345307068366224,-7.5,1641,10,2025-06-17 20:00:00,-0.297462,neg_pstop,0
4985,2025,k1,LONG,0.3686175,0.5324554943007971,-0.0324344421476569,-0.2840016535758526,-6.869999999999891,1642,3,2025-06-18 00:00:00,-0.3686175,mu_nonstop,1
4986,2025,k2,LONG,0.8470570505369079,0.4770935937015055,-0.7740889491462536,-1.0,-4.369999999999891,1642,3,2025-06-18 04:00:00,-0.8470570505369079,mu_nonstop,3
4987,2025,k3p,LONG,0.7081359778531902,0.3278239019740671,-0.6124559752671774,-1.0,-12.220000000000256,1642,3,2025-06-18 08:00:00,-0.7081359778531902,mu_nonstop,3
