PnL,PF,WR,DD,P95,Max,N,routes,event_routes,event_before_last,changed,year,method,q,delta
2383.870000000006,2.311584275535754,0.6763485477178424,222.44999999999982,85.04000000000042,160.55000000000018,241,67,45,21,65,2025,FULL__LOGIT,0.5,-327.33999999999605
2193.8900000000062,2.1496447136748604,0.6763485477178424,247.63999999999942,77.52999999999975,160.55000000000018,241,67,34,16,49,2025,FULL__LOGIT,0.7,-517.3199999999956
2319.0000000000036,2.137718381584566,0.6597510373443983,264.2399999999993,81.11999999999989,251.8499999999999,241,67,30,12,44,2025,FULL__LOGIT,0.8,-392.2099999999982
2657.4000000000015,2.3284808006678923,0.6680497925311203,309.6500000000001,92.2199999999998,241.4699999999998,241,67,20,7,26,2025,FULL__LOGIT,0.9,-53.8100000000004
2555.650000000003,2.253863665355068,0.6680497925311203,324.74000000000024,92.26999999999998,241.4699999999998,241,67,12,4,15,2025,FULL__LOGIT,0.95,-155.55999999999904
1959.3100000000036,2.0979663657403553,0.6804979253112033,228.24000000000024,55.0300000000002,165.3800000000001,241,67,53,30,72,2025,FULL__TREE2,0.5,-751.8999999999983
2214.720000000003,2.1317434118073932,0.6680497925311203,251.5900000000006,80.64999999999964,161.8099999999995,241,67,36,14,44,2025,FULL__TREE2,0.7,-496.4899999999989
2214.720000000003,2.1317434118073932,0.6680497925311203,251.5900000000006,80.64999999999964,161.8099999999995,241,67,36,14,44,2025,FULL__TREE2,0.8,-496.4899999999989
2580.8500000000035,2.280939641951354,0.6763485477178424,302.4600000000005,92.2199999999998,241.4699999999998,241,67,10,6,15,2025,FULL__TREE2,0.9,-130.3599999999983
2580.8500000000035,2.280939641951354,0.6763485477178424,302.4600000000005,92.2199999999998,241.4699999999998,241,67,10,6,15,2025,FULL__TREE2,0.95,-130.3599999999983
2589.1900000000037,2.3906768645733782,0.6639004149377593,239.4400000000005,85.04000000000042,216.07000000000016,241,67,40,15,55,2025,FULL__HGB,0.5,-122.01999999999816
2660.3400000000015,2.3507143654992446,0.6763485477178424,285.00000000000045,92.2199999999998,241.4699999999998,241,67,22,5,29,2025,FULL__HGB,0.7,-50.870000000000346
2771.830000000001,2.435556545337782,0.6804979253112033,285.00000000000045,92.26999999999998,241.4699999999998,241,67,12,3,16,2025,FULL__HGB,0.8,60.61999999999898
2731.020000000002,2.387967311093495,0.6846473029045643,310.1500000000001,92.2199999999998,241.4699999999998,241,67,4,1,5,2025,FULL__HGB,0.9,19.809999999999945
2713.540000000002,2.36694003385186,0.6846473029045643,319.3000000000002,92.2199999999998,241.4699999999998,241,67,2,1,3,2025,FULL__HGB,0.95,2.3299999999999272
3189.709999999996,2.144701238112326,0.6545454545454545,524.2099999999991,150.574,592.9399999999996,165,49,28,10,39,2026,MECH_RATIO,0.5,-239.56000000000495
3245.3299999999954,2.152080456383366,0.6666666666666666,474.4499999999989,150.574,592.9399999999996,165,49,26,8,37,2026,MECH_RATIO,0.7,-183.9400000000055
3182.8399999999974,2.08760012028102,0.6666666666666666,474.4499999999989,150.574,592.9399999999996,165,49,20,4,27,2026,MECH_RATIO,0.8,-246.43000000000347
2981.45,1.9766568065751422,0.6545454545454545,529.989999999998,150.574,592.9399999999996,165,49,19,4,24,2026,MECH_RATIO,0.9,-447.8200000000011
3300.530000000002,2.10328056264959,0.6666666666666666,440.34999999999854,150.574,592.9399999999996,165,49,7,1,9,2026,MECH_RATIO,0.95,-128.73999999999887
2475.6399999999976,1.8729644909905137,0.6484848484848484,553.1499999999987,138.31799999999956,509.3800000000001,165,49,30,10,40,2026,MECH_RATIO_DELTA,0.5,-953.6300000000033
3156.439999999997,2.1112034246768228,0.6545454545454545,520.7299999999987,150.574,592.9399999999996,165,49,23,6,32,2026,MECH_RATIO_DELTA,0.7,-272.830000000004
3102.1199999999985,2.032666553483866,0.6606060606060606,529.989999999998,154.79600000000022,592.9399999999996,165,49,22,5,29,2026,MECH_RATIO_DELTA,0.8,-327.15000000000236
3008.0999999999995,1.97850165409425,0.6545454545454545,529.989999999998,150.574,592.9399999999996,165,49,17,4,22,2026,MECH_RATIO_DELTA,0.9,-421.17000000000144
3331.000000000001,2.1145761532232714,0.6666666666666666,440.34999999999854,150.574,592.9399999999996,165,49,9,1,11,2026,MECH_RATIO_DELTA,0.95,-98.26999999999998
3913.1899999999973,2.4795955791997026,0.6727272727272727,454.32000000000244,185.95999999999995,592.9399999999996,165,49,28,9,34,2026,MECH_PRICE_RETRACE,0.5,483.91999999999643
